Security,Trans type,Qty,Open date,Cost,Close date,Proceeds,ST gain($),LT gain($),OR gain($)
AIR TRANSPORT SERVICES GROU (ATSG),Sell.FIFO,100.,,155.00 ,2019-07-24,"2,410.99 ",,"2,255.99 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,200.,2000-01-05,"10,224.00 ",2019-07-24,"11,472.96 ",,"1,248.96 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2000-10-17,"5,477.50 ",2019-07-24,"5,736.48 ",,258.98 ,
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2001-03-15,"2,099.00 ",2019-07-24,"5,736.48 ",,"3,637.48 ",
CISCO SYSTEMS INC (CSCO),Sell.FIFO,100.,2001-10-05,"1,480.95 ",2019-07-24,"5,736.48 ",,"4,255.53 ",
DUKE ENERGY CORP (DUK),Sell.FIFO,32.6667,2001-07-31,"3,841.61 ",2019-06-04,"2,751.63 ",,"(1,089.98)",
DUKE ENERGY CORP (DUK),Sell.FIFO,33.3333,2002-09-18,"2,163.00 ",2019-06-04,"2,807.78 ",,644.78 ,
ENBRIDGE INC (ENB),Sell.FIFO,98.,,0.00 ,2019-07-24,"3,424.19 ",,"3,424.19 ",
GENERAL ELECTRIC CO (GE),Sell.FIFO,302.,,0.00 ,2019-06-04,"2,972.24 ",,"2,972.24 ",
INTEL CORP (INTC),Sell.FIFO,100.,2001-01-16,"3,177.50 ",2019-07-24,"5,197.91 ",,"2,020.41 ",
INTEL CORP (INTC),Sell.FIFO,100.,2001-10-17,"2,005.95 ",2019-07-24,"5,197.90 ",,"3,191.95 ",
ST JOE CO (JOE),Sell.FIFO,100.898,,0.00 ,2019-07-24,"1,835.73 ",,"1,835.73 ",
ST JOE CO (JOE),Sell.FIFO,0.297,2003-03-31,8.07 ,2019-07-24,5.41 ,,(2.66),
ST JOE CO (JOE),Sell.FIFO,0.377,2003-09-30,12.14 ,2019-07-24,6.86 ,,(5.28),
ST JOE CO (JOE),Sell.FIFO,0.321,2003-12-31,12.19 ,2019-07-24,5.84 ,,(6.35),
ST JOE CO (JOE),Sell.FIFO,0.301,2004-03-31,12.23 ,2019-07-24,5.47 ,,(6.76),
ST JOE CO (JOE),Sell.FIFO,0.309,2004-06-30,12.26 ,2019-07-24,5.63 ,,(6.63),
ST JOE CO (JOE),Sell.FIFO,0.302,2004-09-30,14.35 ,2019-07-24,5.49 ,,(8.86),
ST JOE CO (JOE),Sell.FIFO,0.222,2004-12-31,14.39 ,2019-07-24,4.04 ,,(10.35),
ST JOE CO (JOE),Sell.FIFO,0.212,2005-03-31,14.42 ,2019-07-24,3.86 ,,(10.56),
ST JOE CO (JOE),Sell.FIFO,0.176,2005-06-30,14.45 ,2019-07-24,3.20 ,,(11.25),
ST JOE CO (JOE),Sell.FIFO,0.267,2005-09-30,16.55 ,2019-07-24,4.86 ,,(11.69),
ST JOE CO (JOE),Sell.FIFO,0.244,2005-12-30,16.59 ,2019-07-24,4.44 ,,(12.15),
ST JOE CO (JOE),Sell.FIFO,0.266,2006-03-31,16.63 ,2019-07-24,4.84 ,,(11.79),
ST JOE CO (JOE),Sell.FIFO,0.349,2006-06-30,16.67 ,2019-07-24,6.35 ,,(10.32),
ST JOE CO (JOE),Sell.FIFO,0.299,2006-09-29,16.73 ,2019-07-24,5.44 ,,(11.29),
ST JOE CO (JOE),Sell.FIFO,0.315,2006-12-29,16.77 ,2019-07-24,5.73 ,,(11.04),
ST JOE CO (JOE),Sell.FIFO,0.315,2007-03-30,16.82 ,2019-07-24,5.73 ,,(11.09),
ST JOE CO (JOE),Sell.FIFO,0.362,2007-06-29,16.88 ,2019-07-24,6.58 ,,(10.30),
ST JOE CO (JOE),Sell.FIFO,0.168,2007-09-28,5.71 ,2019-07-24,3.06 ,,(2.65),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,597.208,,0.00 ,2019-06-14,"12,147.21 ",,"12,147.21 ",
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.187,2004-12-20,15.30 ,2019-06-14,24.14 ,,8.84 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,8.711,2005-12-19,130.41 ,2019-06-14,177.19 ,,46.78 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,73.273,2006-12-18,"1,225.87 ",2019-06-14,"1,490.37 ",,264.50 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.739,2007-12-14,52.84 ,2019-06-14,55.71 ,,2.87 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,0.29,2007-12-14,5.59 ,2019-06-14,5.90 ,,0.31 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,30.623,2007-12-14,590.72 ,2019-06-14,622.87 ,,32.15 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,4.705,2008-12-12,42.25 ,2019-06-14,95.70 ,,53.45 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,29.256,2008-12-12,262.72 ,2019-06-14,595.07 ,,332.35 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,0.311,2009-12-21,4.02 ,2019-06-14,6.32 ,,2.30 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.606,2010-12-21,23.25 ,2019-06-14,32.67 ,,9.42 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,6.595,2012-12-18,98.92 ,2019-06-14,134.14 ,,35.22 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,1.046,2013-12-17,21.07 ,2019-06-14,21.28 ,,0.21 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,78.001,2014-12-17,"1,645.83 ",2019-06-14,"1,586.54 ",,(59.29),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,5.678,2014-12-17,119.81 ,2019-06-14,115.49 ,,(4.32),
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,23.239,2015-12-17,424.57 ,2019-06-14,472.68 ,,48.11 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.773,2015-12-17,50.66 ,2019-06-14,56.40 ,,5.74 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,2.188,2016-12-19,43.23 ,2019-06-14,44.51 ,,1.28 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,29.927,2016-12-19,591.36 ,2019-06-14,608.71 ,,17.35 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,9.452,2017-12-19,179.02 ,2019-06-14,192.25 ,,13.23 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,62.592,2017-12-19,"1,185.50 ",2019-06-14,"1,273.13 ",,87.63 ,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,43.189,2018-12-18,729.46 ,2019-06-14,878.46 ,149.00 ,,
JANUS HENDERSON CONTRARIAN  (JSVAX),Sell.FIFO,41.028,2018-12-18,692.96 ,2019-06-14,834.51 ,141.55 ,,
NEWELL BRANDS INC (NWL),Sell.FIFO,100.,2000-12-28,"2,258.75 ",2019-06-04,"1,444.53 ",,(814.22),
REGIONS FINANCIAL CORP (RF),Sell.FIFO,79.,,0.00 ,2019-06-04,"1,128.52 ",,"1,128.52 ",
REGIONS FINANCIAL CORP (RF),Sell.FIFO,21.,2007-11-29,544.40 ,2019-06-04,299.98 ,,(244.42),
RED HAT INC (RHT),Corp Action G/L,100.,,0.00 ,2019-07-09,"19,000.00 ",,"19,000.00 ",
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,297.672,,0.00 ,2019-07-24,"10,534.61 ",,"10,534.61 ",
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.996,2003-12-02,63.68 ,2019-07-24,70.64 ,,6.96 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.203,2004-12-02,80.00 ,2019-07-24,77.96 ,,(2.04),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.09,2005-12-02,84.50 ,2019-07-24,73.97 ,,(10.53),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.939,2006-12-04,87.23 ,2019-07-24,68.62 ,,(18.61),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.104,2007-12-03,148.96 ,2019-07-24,109.85 ,,(39.11),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,4.261,2008-12-02,109.38 ,2019-07-24,150.80 ,,41.42 ,
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,2.427,2009-12-02,89.28 ,2019-07-24,85.89 ,,(3.39),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,3.906,2010-12-02,154.69 ,2019-07-24,138.23 ,,(16.46),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.364,2011-12-22,53.37 ,2019-07-24,48.27 ,,(5.10),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.476,2012-12-19,20.09 ,2019-07-24,16.85 ,,(3.24),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,16.656,2012-12-19,703.55 ,2019-07-24,589.45 ,,(114.10),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,4.567,2012-12-19,192.90 ,2019-07-24,161.63 ,,(31.27),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,18.86,2013-07-02,853.23 ,2019-07-24,667.46 ,,(185.77),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.439,2013-07-02,65.11 ,2019-07-24,50.92 ,,(14.19),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.833,2013-07-02,37.69 ,2019-07-24,29.48 ,,(8.21),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,13.25,2013-12-20,649.37 ,2019-07-24,468.92 ,,(180.45),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.601,2013-12-20,29.47 ,2019-07-24,21.27 ,,(8.20),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.787,2013-12-20,38.56 ,2019-07-24,27.85 ,,(10.71),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,0.231,2014-07-02,11.35 ,2019-07-24,8.18 ,,(3.17),
SELECTED AMERN SHS INC CL S (SLASX),Sell.FIFO,1.177,2014-07-02,57.90 ,2019-07-24,41.65 ,,(16.25),
